ISO3,Country,Top1,Top1_2050_pct,Top2,Top2_2050_pct,Top3,Top3_2050_pct,Top4,Top4_2050_pct,Top5,Top5_2050_pct
CMR,Cameroon,Protestant Christianity,25.7,Sunni Islam,21.8,Catholic Christianity,19.9,African Independent / Syncretic Christianity,11.6,Indigenous / Syncretic traditions,6.1
COD,Congo (DRC),Protestant Christianity,36.7,Catholic Christianity,28.4,African Independent / Syncretic Christianity,16.5,Orthodox Christianity,5.5,Other Christianity,4.6
COG,Congo,Protestant Christianity,32.7,Catholic Christianity,25.2,African Independent / Syncretic Christianity,14.6,Sunni Islam,6.8,Indigenous / Syncretic traditions,5.7
COL,Colombia,Catholic Christianity,58.5,Protestant Christianity,14.6,Unaffiliated,12.4,Other Christianity,5.7,Other religions,3.1
COM,Comoros,Sunni Islam,86.3,Shia Islam,8.7,Ibadi / Other Islam,2.9,Unaffiliated,1.0,Catholic Christianity,0.3
CPV,Cape Verde,Protestant Christianity,28.1,Catholic Christianity,21.7,Sunni Islam,16.1,African Independent / Syncretic Christianity,12.6,Indigenous / Syncretic traditions,5.1
CRI,Costa Rica,Catholic Christianity,58.1,Protestant Christianity,14.5,Unaffiliated,12.8,Other Christianity,5.7,Other religions,3.1
CUB,Cuba,Catholic Christianity,59.9,Protestant Christianity,15.0,Unaffiliated,10.3,Other Christianity,5.8,Other religions,3.1
CYP,Cyprus,Orthodox Christianity,43.7,Unaffiliated,26.1,Sunni Islam,12.2,Catholic Christianity,5.0,Other Christianity,3.9
CZE,Czechia,Unaffiliated,28.8,Catholic Christianity,25.2,Protestant Christianity,20.4,Other Christianity,9.6,Sunni Islam,6.1
DEU,Germany,Unaffiliated,32.6,Protestant Christianity,27.9,Catholic Christianity,13.2,Sunni Islam,9.4,Other Christianity,7.6
DJI,Djibouti,Sunni Islam,86.6,Shia Islam,8.7,Ibadi / Other Islam,2.9,Unaffiliated,1.4,Catholic Christianity,0.1
DMA,Dominica,Catholic Christianity,57.5,Protestant Christianity,14.4,Unaffiliated,13.6,Other Christianity,5.6,Other religions,3.1
DNK,Denmark,Unaffiliated,30.1,Protestant Christianity,29.9,Catholic Christianity,14.2,Sunni Islam,9.2,Other Christianity,8.1
DOM,Dominican Rep.,Catholic Christianity,57.6,Protestant Christianity,14.4,Unaffiliated,13.6,Other Christianity,5.6,Other religions,3.0
DZA,Algeria,Sunni Islam,81.8,Shia Islam,8.3,Ibadi / Other Islam,2.8,Unaffiliated,1.9,Orthodox Christianity,1.5
ECU,Ecuador,Catholic Christianity,58.9,Protestant Christianity,14.7,Unaffiliated,11.7,Other Christianity,5.7,Other religions,3.1
EGY,Egypt,Sunni Islam,79.8,Shia Islam,8.2,Orthodox Christianity,3.6,Ibadi / Other Islam,2.7,Catholic Christianity,1.9
ERI,Eritrea,Sunni Islam,65.9,Indigenous / Syncretic traditions,7.0,Shia Islam,6.7,Protestant Christianity,5.3,Catholic Christianity,4.0
ESP,Spain,Catholic Christianity,38.7,Unaffiliated,31.4,Protestant Christianity,9.8,Sunni Islam,8.8,Other Christianity,3.8
EST,Estonia,Protestant Christianity,33.1,Unaffiliated,28.4,Catholic Christianity,15.7,Other Christianity,9.0,Sunni Islam,6.2
ETH,Ethiopia,Sunni Islam,30.4,Protestant Christianity,24.7,Catholic Christianity,19.1,African Independent / Syncretic Christianity,11.1,Orthodox Christianity,3.7
FIN,Finland,Unaffiliated,32.1,Protestant Christianity,29.3,Catholic Christianity,13.9,Sunni Islam,8.5,Other Christianity,8.0
FJI,Fiji,Hinduism,26.5,Catholic Christianity,19.1,Unaffiliated,16.6,Protestant Christianity,15.4,Other Christianity,7.3
FRA,France,Catholic Christianity,35.0,Unaffiliated,28.7,Sunni Islam,15.2,Protestant Christianity,9.1,Other Christianity,3.4
FSM,Micronesia,Catholic Christianity,28.8,Protestant Christianity,23.3,Unaffiliated,21.3,Other Christianity,11.0,Orthodox Christianity,5.5
GAB,Gabon,Protestant Christianity,31.5,Catholic Christianity,24.3,African Independent / Syncretic Christianity,14.1,Sunni Islam,9.3,Indigenous / Syncretic traditions,5.5
GBR,UK,Unaffiliated,28.6,Protestant Christianity,25.8,Sunni Islam,14.3,Catholic Christianity,12.3,Other Christianity,7.0
GEO,Georgia,Orthodox Christianity,44.5,Unaffiliated,23.0,Sunni Islam,9.4,Catholic Christianity,5.1,Other Christianity,4.0
GHA,Ghana,Protestant Christianity,28.3,Catholic Christianity,21.9,Sunni Islam,19.0,African Independent / Syncretic Christianity,12.7,Orthodox Christianity,4.2
GIN,Guinea,Sunni Islam,78.8,Shia Islam,8.0,Unaffiliated,3.1,Ibadi / Other Islam,2.6,Catholic Christianity,1.8
GMB,Gambia,Sunni Islam,84.9,Shia Islam,8.6,Ibadi / Other Islam,2.9,Unaffiliated,1.2,Catholic Christianity,0.6
GNB,Guinea-Bissau,Sunni Islam,42.6,Unaffiliated,13.3,Catholic Christianity,9.1,Other religions,8.7,Folk / Traditional,8.2
GNQ,Equatorial Guinea,Protestant Christianity,32.4,Catholic Christianity,25.0,African Independent / Syncretic Christianity,14.5,Sunni Islam,7.4,Indigenous / Syncretic traditions,5.7
GRC,Greece,Orthodox Christianity,46.4,Unaffiliated,28.0,Sunni Islam,7.3,Catholic Christianity,5.4,Other Christianity,4.2
GRD,Grenada,Catholic Christianity,57.4,Protestant Christianity,14.4,Unaffiliated,13.2,Other Christianity,5.6,Other religions,3.0
GTM,Guatemala,Catholic Christianity,57.6,Protestant Christianity,14.4,Unaffiliated,13.6,Other Christianity,5.6,Other religions,3.0
GUY,Guyana,Catholic Christianity,39.4,Hinduism,24.3,Protestant Christianity,9.8,Unaffiliated,9.4,Sunni Islam,6.5
HKG,Hong Kong,Unaffiliated,45.0,Mahayana Buddhism,21.8,Folk / Traditional,15.9,Catholic Christianity,3.2,Other religions,2.6
HND,Honduras,Catholic Christianity,58.5,Protestant Christianity,14.6,Unaffiliated,12.1,Other Christianity,5.7,Other religions,3.0
HRV,Croatia,Catholic Christianity,43.1,Unaffiliated,28.5,Protestant Christianity,10.8,Sunni Islam,6.6,Other Christianity,4.2
HTI,Haiti,Catholic Christianity,59.3,Protestant Christianity,14.8,Unaffiliated,11.1,Other Christianity,5.8,Other religions,3.0
HUN,Hungary,Catholic Christianity,43.8,Unaffiliated,27.9,Protestant Christianity,11.0,Sunni Islam,6.2,Other Christianity,4.3
IDN,Indonesia,Sunni Islam,74.2,Shia Islam,7.6,Catholic Christianity,4.3,Protestant Christianity,3.5,Ibadi / Other Islam,2.5
IND,India,Hinduism,75.0,Sunni Islam,14.6,Unaffiliated,3.3,Sikhism,1.6,Shia Islam,1.5
IRL,Ireland,Catholic Christianity,38.3,Unaffiliated,32.1,Protestant Christianity,9.9,Sunni Islam,8.1,Other Christianity,3.8
