ISO3,Country,Group,Profile,Share_2024_pct,Share_2050_pct,Change_pp,Share_2050_WithoutBirthReplacementMigration_pct,BirthReplacementMigration_Attributed_Change_pp,Birth_Replacement_Pressure_2050,Europe_Migration_Response_2050,Migration_Composition_Weight_2050,SSA_LateMigration_CompositionWeight_2050,Share_2050_WithoutSSALateMigration_pct,SSA_LateMigration_Attributed_Change_pp,Pop_2024,Pop_2050
BEL,Belgium,Hinduism,religion,0.06,0.51,0.45,0.48,0.03,0.204,0.126,0.0224,0.0143,0.52,-0.01,7043,60976
BEL,Belgium,Ibadi / Other Islam,religion,0.23,0.45,0.22,0.43,0.01,0.204,0.126,0.0224,0.0143,0.45,-0.01,26764,52831
BEL,Belgium,Indigenous / Syncretic traditions,religion,0.0,0.04,0.04,0.04,0.0,0.204,0.126,0.0224,0.0143,0.0,0.04,0,5106
BEL,Belgium,Judaism,religion,0.49,0.38,-0.12,0.38,-0.01,0.204,0.126,0.0224,0.0143,0.38,-0.01,57657,44580
BEL,Belgium,Mahayana Buddhism,religion,0.44,0.36,-0.08,0.35,0.01,0.204,0.126,0.0224,0.0143,0.36,-0.01,51892,42485
BEL,Belgium,Orthodox Christianity,religion,1.95,1.45,-0.49,1.45,-0.0,0.204,0.126,0.0224,0.0143,1.4,0.05,228323,172543
BEL,Belgium,Other Christianity,religion,4.54,3.28,-1.26,3.28,-0.0,0.204,0.126,0.0224,0.0143,3.27,0.01,532753,389551
BEL,Belgium,Other religions,religion,2.46,4.24,1.78,4.27,-0.03,0.204,0.126,0.0224,0.0143,4.27,-0.03,288286,503121
BEL,Belgium,Protestant Christianity,religion,11.67,8.68,-2.99,8.68,-0.01,0.204,0.126,0.0224,0.0143,8.41,0.27,1369937,1030149
BEL,Belgium,Shia Islam,religion,0.68,1.34,0.66,1.3,0.04,0.204,0.126,0.0224,0.0143,1.35,-0.01,80293,159343
BEL,Belgium,Sunni Islam,religion,6.69,13.48,6.8,13.11,0.38,0.204,0.126,0.0224,0.0143,13.24,0.24,785088,1600760
BEL,Belgium,Theravada Buddhism,religion,0.34,0.28,-0.07,0.27,0.01,0.204,0.126,0.0224,0.0143,0.28,-0.0,40360,33044
BEL,Belgium,Unaffiliated,religion,23.58,31.81,8.24,32.23,-0.41,0.204,0.126,0.0224,0.0143,32.24,-0.43,2767550,3776489
