City,Country,ISO3,Country_Alpha2,Continent,Latitude,Longitude,GeoNames_Population,Is_Capital,City_Rank_In_Selected_Country,Matched_Subdivision,City_HDI_2025,City_HDI_2050,City_HDI_Change,National_HDI_2025,National_HDI_2050,Urban_Premium_2025,Urban_Premium_2050,Projection_Method,Confidence,Data_Status,GeoNames_ID
Phra Pradaeng,Thailand,THA,TH,Asia/Pacific,13.65855,100.53362,196129,False,5,Samut Prakan,0.800375,0.86162,0.061245,0.798,0.8601,0.002375,0.00152,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,1607508
Bengaluru,India,IND,IN,Asia/Pacific,12.97194,77.59369,8495492,False,4,Karnataka,0.724028,0.861377,0.137349,0.685,0.8358,0.009277,0.005937,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,1277333
Kumanovo,North Macedonia,MKD,MK,Europe,42.13279,21.71585,75051,False,2,Kumanovo,0.817114,0.861353,0.044239,0.815,0.86,0.002114,0.001353,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,788886
Nis,Serbia,SRB,RS,Europe,43.32472,21.90333,250000,False,2,Central Serbia,0.835346,0.861302,0.025955,0.833,0.8598,0.002346,0.001502,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,787657
Chengdu,China,CHN,CN,Asia/Pacific,30.66667,104.06667,13568357,False,5,Sichuan,0.779231,0.86128,0.08205,0.797,0.8801,0.004918,0.003147,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,1815286
Prilep,North Macedonia,MKD,MK,Europe,41.34558,21.5537,73814,False,3,Prilep,0.816912,0.861224,0.044312,0.815,0.86,0.001912,0.001224,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,786735
Bitola,North Macedonia,MKD,MK,Europe,41.03226,21.33553,69287,False,4,Bitola,0.816684,0.861078,0.044394,0.815,0.86,0.001684,0.001078,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,792578
Salto,Uruguay,URY,UY,America,-31.38811,-57.95983,114084,False,2,"Litoral Norte (Paysandu, Salto and Rio Negro)",0.836147,0.86106,0.024913,0.862,0.8861,0.001755,0.001123,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,3440714
Novi Beograd,Serbia,SRB,RS,Europe,44.80556,20.42417,209763,False,4,Central Serbia,0.834939,0.861041,0.026102,0.833,0.8598,0.001939,0.001241,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,787607
Cair,North Macedonia,MKD,MK,Europe,42.01528,21.44111,64773,False,5,Grad Skopje,0.816454,0.860931,0.044476,0.815,0.86,0.001454,0.000931,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,833262
