ISO3,Country,Group,Share_2024_pct,Share_2050_pct,Change_pp,Pop_2024,Pop_2050,Anchor
CYP,Cyprus,Greek Cypriot,77.0,71.91,-5.09,1045881,1084736,True
CYP,Cyprus,Turkish Cypriot,18.0,22.86,4.86,244492,344814,False
CYP,Cyprus,Foreign residents,5.0,5.23,0.23,67914,78934,False
CZE,Czechia,Czech,76.0,74.18,-1.82,8159251,7288941,True
CZE,Czechia,Moravian,5.0,4.71,-0.29,536793,463196,False
CZE,Czechia,Slovak,2.3,2.53,0.23,246925,248164,False
CZE,Czechia,Ukrainian,4.0,4.39,0.39,429434,431590,False
CZE,Czechia,Vietnamese,1.2,1.32,0.12,128830,129477,False
CZE,Czechia,Russian,0.9,0.99,0.09,96623,97108,False
CZE,Czechia,Romani,1.0,1.43,0.43,107359,140406,False
CZE,Czechia,Polish,0.6,0.57,-0.03,64415,55584,False
CZE,Czechia,Other,9.0,9.88,0.88,966227,971077,False
DEU,Germany,German,83.5,78.44,-5.06,70601115,61411100,True
DEU,Germany,Turkish,2.4,3.0,0.6,2029254,2347538,False
DEU,Germany,Syrian,1.4,3.05,1.65,1183731,2386342,False
DEU,Germany,Polish,1.2,1.46,0.26,1014627,1144070,False
DEU,Germany,Romanian,1.0,1.3,0.3,845522,1017727,False
DEU,Germany,Italian,0.9,0.98,0.08,760970,765957,False
DEU,Germany,Ukrainian,0.8,1.64,0.84,676418,1281975,False
DEU,Germany,Russian,0.7,0.75,0.05,591866,585372,False
DEU,Germany,Greek,0.6,0.64,0.04,507313,501747,False
DEU,Germany,Iraqi,0.5,0.95,0.45,422761,747247,False
DEU,Germany,Afghan,0.4,0.82,0.42,338209,639749,False
DEU,Germany,Bulgarian,0.4,0.43,0.03,338209,334498,False
DEU,Germany,Croatian,0.3,0.32,0.02,253657,250874,False
DEU,Germany,Serbian,0.3,0.32,0.02,253657,250874,False
DEU,Germany,Kosovar,0.3,0.33,0.03,253657,256452,False
DEU,Germany,Spanish,0.4,0.41,0.01,338209,318761,False
DEU,Germany,French,0.4,0.41,0.01,338209,318761,False
DEU,Germany,Dutch,0.4,0.41,0.01,338209,318761,False
DEU,Germany,British,0.3,0.31,0.01,253657,239071,False
DEU,Germany,Other,3.8,4.06,0.26,3212985,3177731,False
DJI,Djibouti,Somali (Issa),60.0,63.03,3.03,701236,964755,True
DJI,Djibouti,Afar,35.0,32.21,-2.79,409054,492922,False
DJI,Djibouti,Arab,2.0,2.01,0.01,23375,30832,False
DJI,Djibouti,Other (French/Ethiopian),3.0,2.75,-0.25,35062,42037,False
DMA,Dominica,Black,86.6,86.84,0.24,57352,54896,True
DMA,Dominica,Mixed,9.1,8.96,-0.14,6027,5661,False
DMA,Dominica,Indigenous (Kalinago),2.9,2.82,-0.08,1921,1784,False
DMA,Dominica,Other,1.4,1.38,-0.02,927,871,False
DNK,Denmark,Danish,83.0,79.91,-3.09,4961256,4894572,True
DNK,Denmark,Other Nordic/European,4.0,4.11,0.11,239097,251862,False
DNK,Denmark,Polish,1.3,1.4,0.1,77706,85692,False
DNK,Denmark,Syrian,1.1,1.9,0.8,65752,116160,False
DNK,Denmark,Turkish,1.0,1.28,0.28,59774,78380,False
DNK,Denmark,Somali,0.8,1.22,0.42,47819,74790,False
DNK,Denmark,Pakistani,0.7,0.91,0.21,41842,55815,False
