Destination_ISO3,Destination,Destination_Group,Origin_Candidates,Share_2024_pct,Share_2050_pct,Change_pp,Pop_2024,Pop_2050,Share_2050_LowMigrationScenario_pct,Share_2050_HighMigrationScenario_pct,Share_2050_Migration_P10_pct,Share_2050_Migration_P90_pct,Migration_Uncertainty_Width_pp,Migration_SourceSupply_2050,Migration_BroadLaborMobility_2050,Migration_SkillReadiness_2050,Migration_ClimatePressure_2050,Migration_DestinationPull_2050,Migration_DiasporaNetwork_2050,Migration_CorridorAffinity_2050,Migration_SettlementRetention_2050,Migration_CorridorMultiplier_2050,Migration_Intensity_2050,Birth_Replacement_Pressure_2050,Europe_Migration_Response_2050,BroadLabor_Migration_SourcePressure_2050,BroadLabor_Migration_ProgramIntensity_2050,SSA_LateMigration_DestinationResponse_2050,SSA_SourcePoolTransition_2050,SSA_SourcePoolCapacity_2050,SSA_SourcePoolTransition_Attributed_Change_pp,Migration_Channel_Active,Corridor_Expansion_Index_2050,Projected_Group_Population_Change_pct,Expected_Presence_2050,Interpretation
NZL,New Zealand,MELAA (ME/LatAm/African),NGA;ETH;GHA;KEN;UGA;TZA;RWA;COD;CIV;CMR;SEN;ZMB;ZWE;MOZ;MWI;AGO;SDN;SOM;ERI;BFA;NER;MLI;GIN;SLE;LBR;BEN;TGO;GMB,1.9,1.98,0.08,99065,113946,1.91,2.05,1.91,2.05,0.14,0.711,0.785,0.574,0.717,0.664,0.948,1.0,0.88,1.013,1.81,0.0,0.0,0.0,0.791,0.301,1.0,0.761,0.08,True,1.482,15.0,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
THA,Thailand,Other,NGA;ETH;GHA;KEN;UGA;TZA;RWA;COD;CIV;CMR;SEN;ZMB;ZWE;MOZ;MWI;AGO;SDN;SOM;ERI;BFA;NER;MLI;GIN;SLE;LBR;BEN;TGO;GMB,1.0,1.06,0.06,716680,702798,1.03,1.09,1.03,1.09,0.06,0.711,0.785,0.574,0.717,0.702,0.903,1.0,0.52,0.926,1.97,0.0,0.0,0.0,0.391,0.063,1.0,0.761,0.0,True,1.475,-1.9,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
DNK,Denmark,Ukrainian,UKR,0.5,0.92,0.42,29887,56497,0.76,1.15,0.76,1.15,0.38,0.615,0.539,0.82,0.52,0.648,0.869,1.0,0.78,0.889,1.797,0.204,0.116,0.0,0.526,0.399,1.0,0.761,-0.0,True,1.468,89.0,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
BEL,Belgium,Sub-Saharan African,NGA;ETH;GHA;KEN;UGA;TZA;RWA;COD;CIV;CMR;SEN;ZMB;ZWE;MOZ;MWI;AGO;SDN;SOM;ERI;BFA;NER;MLI;GIN;SLE;LBR;BEN;TGO;GMB,2.0,2.48,0.48,234775,294129,2.4,2.56,2.4,2.56,0.16,0.711,0.785,0.574,0.717,0.671,0.952,1.014,0.78,1.001,1.81,0.204,0.126,0.0,0.632,0.594,1.0,0.761,0.2,True,1.464,25.3,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
ISL,Iceland,Filipino,PHL,0.6,0.66,0.06,2360,2876,0.64,0.69,0.64,0.69,0.05,0.759,0.718,0.88,0.64,0.553,0.876,1.0,0.78,0.91,1.701,0.17,0.093,0.0,0.0,0.0,1.0,0.761,0.0,True,1.464,21.9,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
PRT,Portugal,Chinese,CHN,0.5,0.51,0.01,52126,49880,0.49,0.53,0.49,0.53,0.04,0.52,0.502,0.58,0.45,0.701,0.869,1.0,0.78,0.86,2.099,0.329,0.18,0.0,0.533,0.459,1.0,0.761,-0.0,True,1.464,-4.3,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
MDV,Maldives,Other,NGA;ETH;GHA;KEN;UGA;TZA;RWA;COD;CIV;CMR;SEN;ZMB;ZWE;MOZ;MWI;AGO;SDN;SOM;ERI;BFA;NER;MLI;GIN;SLE;LBR;BEN;TGO;GMB,7.0,7.8,0.8,36946,46034,7.54,8.11,7.54,8.11,0.57,0.711,0.785,0.574,0.717,0.633,1.07,1.0,0.44,0.931,1.942,0.0,0.0,0.0,0.457,0.082,1.0,0.761,0.01,True,1.461,24.6,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
FRA,France,Algerian origin,DZA,2.8,4.31,1.51,1863359,2937357,4.01,4.65,4.01,4.65,0.64,0.632,0.626,0.68,0.6,0.616,0.98,1.3,0.8,1.041,1.623,0.136,0.084,0.0,0.595,0.595,1.0,0.761,-0.01,True,1.446,57.6,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
FRA,France,Moroccan origin,MAR,2.6,4.11,1.51,1730262,2805018,3.84,4.44,3.84,4.44,0.6,0.63,0.613,0.7,0.58,0.616,0.974,1.28,0.8,1.029,1.623,0.136,0.084,0.0,0.595,0.595,1.0,0.761,-0.01,True,1.445,62.1,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
USA,USA,Asian (Pakistani),PAK,0.2,0.33,0.13,690853,1269117,0.3,0.37,0.3,0.37,0.07,0.769,0.814,0.7,0.74,0.68,0.842,1.0,0.88,1.005,1.652,0.0,0.0,0.0,0.732,0.498,1.0,0.761,-0.0,True,1.436,83.7,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
CHE,Switzerland,Chinese,CHN,0.8,0.78,-0.02,71376,72578,0.76,0.79,0.76,0.79,0.03,0.52,0.502,0.58,0.45,0.699,0.891,1.0,0.78,0.867,2.037,0.238,0.155,0.0,0.62,0.397,1.0,0.761,-0.0,True,1.432,1.7,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
NOR,Norway,Eritrean,ETH,0.5,0.58,0.08,27883,33958,0.57,0.58,0.57,0.58,0.01,0.71,0.81,0.52,0.76,0.676,0.869,1.0,0.78,0.958,1.896,0.238,0.142,0.0,0.577,0.473,1.0,0.761,-0.0,True,1.424,21.8,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
SWE,Sweden,Syrian,SYR,1.8,3.45,1.65,190926,390277,3.06,3.96,3.06,3.96,0.9,0.672,0.726,0.6,0.74,0.648,0.944,1.0,0.78,0.953,1.81,0.204,0.126,0.0,0.574,0.483,1.0,0.761,-0.01,True,1.414,104.4,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
BRN,Brunei,Other foreign workers,NGA;ETH;GHA;KEN;UGA;TZA;RWA;COD;CIV;CMR;SEN;ZMB;ZWE;MOZ;MWI;AGO;SDN;SOM;ERI;BFA;NER;MLI;GIN;SLE;LBR;BEN;TGO;GMB,20.6,21.43,0.83,95323,111327,20.66,22.35,20.66,22.35,1.69,0.711,0.785,0.574,0.717,0.619,1.189,1.001,0.46,0.97,1.795,0.0,0.0,0.0,0.51,0.112,1.0,0.761,0.02,True,1.407,16.8,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
FRA,France,Southeast Asian (Vietnamese/Cambodian),VNM,0.6,0.71,0.11,399291,482714,0.68,0.74,0.68,0.74,0.05,0.71,0.674,0.84,0.68,0.616,0.876,1.0,0.8,0.93,1.623,0.136,0.084,0.0,0.595,0.595,1.0,0.761,-0.0,True,1.401,20.9,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
SWE,Sweden,Somalian,NGA;ETH;GHA;KEN;UGA;TZA;RWA;COD;CIV;CMR;SEN;ZMB;ZWE;MOZ;MWI;AGO;SDN;SOM;ERI;BFA;NER;MLI;GIN;SLE;LBR;BEN;TGO;GMB,0.7,1.69,0.99,74249,190719,1.47,1.95,1.47,1.95,0.48,0.711,0.785,0.574,0.717,0.648,0.884,1.014,0.78,0.954,1.81,0.204,0.126,0.0,0.574,0.483,1.0,0.761,0.14,True,1.396,156.9,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
AUS,Australia,Chinese,CHN,5.5,6.34,0.84,1469226,2062547,5.9,6.87,5.9,6.87,0.97,0.52,0.502,0.58,0.45,0.702,1.045,1.0,0.9,0.949,1.81,0.0,0.0,0.0,0.931,0.391,1.0,0.761,-0.01,True,1.393,40.4,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
USA,USA,Hispanic / Latino (Colombian),COL,0.4,0.5,0.1,1381706,1912040,0.47,0.54,0.47,0.54,0.07,0.632,0.586,0.78,0.6,0.68,0.86,1.0,0.88,0.932,1.652,0.0,0.0,0.0,0.732,0.498,1.0,0.761,-0.0,True,1.387,38.4,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
USA,USA,Hispanic / Latino (Venezuelan),VEN,0.3,0.48,0.18,1036280,1824822,0.42,0.55,0.42,0.55,0.13,0.636,0.596,0.78,0.64,0.68,0.851,1.0,0.88,0.931,1.652,0.0,0.0,0.0,0.732,0.498,1.0,0.761,-0.0,True,1.386,76.1,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
DNK,Denmark,Somali,NGA;ETH;GHA;KEN;UGA;TZA;RWA;COD;CIV;CMR;SEN;ZMB;ZWE;MOZ;MWI;AGO;SDN;SOM;ERI;BFA;NER;MLI;GIN;SLE;LBR;BEN;TGO;GMB,0.8,1.34,0.54,47819,82131,1.3,1.39,1.3,1.39,0.09,0.711,0.785,0.574,0.717,0.648,0.891,1.005,0.78,0.954,1.797,0.204,0.116,0.0,0.526,0.399,1.0,0.761,0.09,True,1.386,71.8,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
USA,USA,Asian (Bangladeshi),BGD,0.1,0.18,0.08,345427,697688,0.16,0.21,0.16,0.21,0.05,0.735,0.788,0.68,0.84,0.68,0.831,1.0,0.88,0.98,1.652,0.0,0.0,0.0,0.732,0.498,1.0,0.761,-0.0,True,1.386,102.0,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
DNK,Denmark,Syrian,SYR,1.1,2.0,0.9,65752,122618,1.8,2.26,1.8,2.26,0.45,0.672,0.726,0.6,0.74,0.648,0.909,1.0,0.78,0.938,1.797,0.204,0.116,0.0,0.526,0.399,1.0,0.761,-0.0,True,1.382,86.5,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
SWE,Sweden,Eritrean,NGA;ETH;GHA;KEN;UGA;TZA;RWA;COD;CIV;CMR;SEN;ZMB;ZWE;MOZ;MWI;AGO;SDN;SOM;ERI;BFA;NER;MLI;GIN;SLE;LBR;BEN;TGO;GMB,0.4,0.55,0.15,42428,62218,0.52,0.59,0.52,0.59,0.07,0.711,0.785,0.574,0.717,0.648,0.86,1.014,0.78,0.943,1.81,0.204,0.126,0.0,0.574,0.483,1.0,0.761,0.11,True,1.38,46.6,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
IRL,Ireland,African (other),NGA;ETH;GHA;KEN;UGA;TZA;RWA;COD;CIV;CMR;SEN;ZMB;ZWE;MOZ;MWI;AGO;SDN;SOM;ERI;BFA;NER;MLI;GIN;SLE;LBR;BEN;TGO;GMB,1.1,1.48,0.38,57805,88590,1.41,1.57,1.41,1.57,0.16,0.711,0.785,0.574,0.717,0.674,0.909,1.008,0.78,0.98,1.732,0.17,0.118,0.0,0.733,0.675,1.0,0.761,0.2,True,1.372,53.3,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
HUN,Hungary,Chinese,CHN,0.4,0.41,0.01,38705,35456,0.39,0.42,0.39,0.42,0.03,0.52,0.502,0.58,0.45,0.648,0.86,1.0,0.78,0.834,2.029,0.347,0.103,0.0,0.0,0.0,1.0,0.761,0.0,True,1.372,-8.4,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
USA,USA,Hispanic / Latino (Guatemalan),GTM,0.8,1.38,0.58,2763413,5243568,1.24,1.54,1.24,1.54,0.3,0.616,0.663,0.56,0.7,0.68,0.891,1.24,0.88,1.028,1.652,0.0,0.0,0.0,0.732,0.498,1.0,0.761,-0.0,True,1.362,89.7,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
FRA,France,Tunisian origin,TUN,0.9,1.3,0.4,598937,887175,1.22,1.39,1.22,1.39,0.17,0.589,0.536,0.74,0.52,0.616,0.897,1.22,0.8,0.943,1.623,0.136,0.084,0.0,0.595,0.595,1.0,0.761,-0.0,True,1.351,48.1,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
NLD,Netherlands,Afghan,AFG,0.5,0.54,0.04,91144,102229,0.52,0.56,0.52,0.56,0.04,0.667,0.804,0.42,0.86,0.706,0.869,1.0,0.78,0.95,1.918,0.238,0.159,0.0,0.676,0.514,1.0,0.761,-0.0,True,1.347,12.2,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
IRL,Ireland,Nigerian,NGA;ETH;GHA;KEN;UGA;TZA;RWA;COD;CIV;CMR;SEN;ZMB;ZWE;MOZ;MWI;AGO;SDN;SOM;ERI;BFA;NER;MLI;GIN;SLE;LBR;BEN;TGO;GMB,0.5,0.82,0.32,26275,48887,0.74,0.91,0.74,0.91,0.17,0.711,0.785,0.574,0.717,0.674,0.869,1.008,0.78,0.961,1.732,0.17,0.118,0.0,0.733,0.675,1.0,0.761,0.23,True,1.345,86.1,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
USA,USA,Black (African immigrant),NGA;ETH;GHA;KEN;UGA;TZA;RWA;COD;CIV;CMR;SEN;ZMB;ZWE;MOZ;MWI;AGO;SDN;SOM;ERI;BFA;NER;MLI;GIN;SLE;LBR;BEN;TGO;GMB,1.0,2.02,1.02,3454266,7705457,1.74,2.36,1.74,2.36,0.62,0.711,0.785,0.574,0.717,0.68,0.903,1.011,0.88,1.006,1.652,0.0,0.0,0.0,0.732,0.498,1.0,0.761,0.28,True,1.343,123.1,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
NLD,Netherlands,Chinese,CHN,0.5,0.48,-0.02,91144,90958,0.47,0.49,0.47,0.49,0.02,0.52,0.502,0.58,0.45,0.706,0.869,1.0,0.78,0.862,1.918,0.238,0.159,0.0,0.676,0.514,1.0,0.761,-0.0,True,1.341,-0.2,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
USA,USA,Hispanic / Latino (Honduran),HND,0.4,0.76,0.36,1381706,2877027,0.67,0.86,0.67,0.86,0.2,0.609,0.656,0.56,0.72,0.68,0.86,1.22,0.88,0.999,1.652,0.0,0.0,0.0,0.732,0.498,1.0,0.761,-0.0,True,1.324,108.2,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
FRA,France,Sub-Saharan African,NGA;ETH;GHA;KEN;UGA;TZA;RWA;COD;CIV;CMR;SEN;ZMB;ZWE;MOZ;MWI;AGO;SDN;SOM;ERI;BFA;NER;MLI;GIN;SLE;LBR;BEN;TGO;GMB,4.0,8.75,4.75,2661941,5968258,7.63,10.19,7.63,10.19,2.56,0.711,0.785,0.574,0.717,0.616,1.013,1.03,0.8,1.002,1.623,0.136,0.084,0.0,0.595,0.595,1.0,0.761,0.23,True,1.314,124.2,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
MDV,Maldives,Chinese expatriate,CHN,5.0,4.97,-0.03,26390,29292,4.85,5.11,4.85,5.11,0.26,0.52,0.502,0.58,0.45,0.633,1.035,1.0,0.44,0.82,1.942,0.0,0.0,0.0,0.457,0.082,1.0,0.761,-0.0,True,1.291,11.0,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
GBR,UK,Chinese,CHN,0.8,0.77,-0.03,553105,583435,0.75,0.79,0.75,0.79,0.04,0.52,0.502,0.58,0.45,0.686,0.891,1.0,0.84,0.872,1.819,0.204,0.134,0.0,0.71,0.682,1.0,0.761,-0.0,True,1.286,5.5,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
SAU,Saudi Arabia,Filipino,PHL,2.7,2.46,-0.24,916994,1175214,2.42,2.52,2.42,2.52,0.1,0.759,0.718,0.88,0.64,0.599,0.977,1.0,0.44,0.902,1.5,0.0,0.0,0.0,0.644,0.361,1.0,0.761,-0.0,True,1.28,28.2,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
PLW,Palau,Chinese,CHN,5.7,5.65,-0.05,1010,878,5.53,5.8,5.53,5.8,0.27,0.52,0.502,0.58,0.45,0.581,1.048,1.0,0.78,0.86,1.833,0.0,0.0,0.0,0.0,0.0,1.0,0.761,0.0,True,1.278,-13.1,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
OMN,Oman,Filipino,PHL,3.0,2.95,-0.05,158446,231271,2.89,3.03,2.89,3.03,0.13,0.759,0.718,0.88,0.64,0.568,0.986,1.0,0.48,0.896,1.5,0.0,0.0,0.0,0.565,0.237,1.0,0.761,0.0,True,1.271,46.0,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
MYS,Malaysia,Indonesian migrant workers,IDN,0.8,0.86,0.06,284461,379551,0.83,0.89,0.83,0.89,0.07,0.736,0.74,0.78,0.76,0.603,0.891,1.0,0.56,0.889,1.585,0.0,0.0,0.0,0.446,0.107,1.0,0.761,-0.0,True,1.27,33.4,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
USA,USA,Hispanic / Latino (Salvadoran),SLV,1.1,1.73,0.63,3799692,6586654,1.58,1.9,1.58,1.9,0.32,0.585,0.595,0.62,0.66,0.68,0.909,1.0,0.88,0.924,1.652,0.0,0.0,0.0,0.732,0.498,1.0,0.761,-0.0,True,1.265,73.3,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
OMN,Oman,Indian,IND;PAK;BGD;LKA;NPL,14.8,14.67,-0.13,781668,1147959,14.34,15.05,14.34,15.05,0.71,0.718,0.719,0.752,0.684,0.568,1.151,1.0,0.48,0.932,1.5,0.0,0.0,0.0,0.565,0.237,1.0,0.761,0.0,True,1.242,46.9,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
SAU,Saudi Arabia,Egyptian,EGY,2.4,2.49,0.09,815106,1189538,2.43,2.57,2.43,2.57,0.13,0.7,0.706,0.72,0.66,0.599,0.967,1.22,0.44,0.941,1.5,0.0,0.0,0.0,0.644,0.361,1.0,0.761,-0.0,True,1.234,45.9,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
SWE,Sweden,Afghan,AFG,0.5,1.07,0.57,53035,121179,0.93,1.26,0.93,1.26,0.33,0.667,0.804,0.42,0.86,0.648,0.869,1.0,0.78,0.918,1.81,0.204,0.126,0.0,0.574,0.483,1.0,0.761,-0.0,True,1.228,128.5,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
SWE,Sweden,Chinese,CHN,0.4,0.38,-0.02,42428,43269,0.38,0.39,0.38,0.39,0.02,0.52,0.502,0.58,0.45,0.648,0.86,1.0,0.78,0.834,1.81,0.204,0.126,0.0,0.574,0.483,1.0,0.761,-0.0,True,1.224,2.0,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
DNK,Denmark,Afghan,AFG,0.4,0.44,0.04,23910,26844,0.42,0.46,0.42,0.46,0.03,0.667,0.804,0.42,0.86,0.648,0.86,1.0,0.78,0.914,1.797,0.204,0.116,0.0,0.526,0.399,1.0,0.761,-0.0,True,1.214,12.3,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
MYS,Malaysia,Bangladeshi/Nepali migrant,BGD,0.6,0.64,0.04,213346,284730,0.62,0.67,0.62,0.67,0.05,0.735,0.788,0.68,0.84,0.603,0.876,1.0,0.56,0.883,1.585,0.0,0.0,0.0,0.446,0.107,1.0,0.761,-0.0,True,1.198,33.5,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
SAU,Saudi Arabia,Indian,IND;PAK;BGD;LKA;NPL,4.4,4.02,-0.38,1494361,1916068,3.94,4.11,3.94,4.11,0.17,0.718,0.719,0.752,0.684,0.599,1.022,1.0,0.44,0.898,1.5,0.0,0.0,0.0,0.644,0.361,1.0,0.761,-0.0,True,1.197,28.2,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
SAU,Saudi Arabia,Pakistani,PAK,3.9,3.57,-0.33,1324547,1704974,3.5,3.66,3.5,3.66,0.16,0.769,0.814,0.7,0.74,0.599,1.011,1.0,0.44,0.919,1.5,0.0,0.0,0.0,0.644,0.361,1.0,0.761,-0.0,True,1.192,28.7,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
USA,USA,Asian (Chinese),CHN,1.5,1.52,0.02,5181398,5777885,1.46,1.57,1.46,1.57,0.11,0.52,0.502,0.58,0.45,0.68,0.93,1.0,0.88,0.89,1.652,0.0,0.0,0.0,0.732,0.498,1.0,0.761,-0.0,True,1.192,11.5,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
OMN,Oman,Pakistani,PAK,5.0,4.95,-0.05,264077,387410,4.84,5.08,4.84,5.08,0.24,0.769,0.814,0.7,0.74,0.568,1.035,1.0,0.48,0.918,1.5,0.0,0.0,0.0,0.565,0.237,1.0,0.761,0.0,True,1.191,46.7,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
COL,Colombia,Venezuelan migrant,VEN,3.0,3.22,0.22,1586591,1914002,3.11,3.35,3.11,3.35,0.24,0.636,0.596,0.78,0.64,0.512,0.986,1.0,0.78,0.864,1.518,0.0,0.0,0.586,0.0,0.0,1.0,0.761,0.0,True,1.182,20.6,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
SAU,Saudi Arabia,Bangladeshi,BGD,4.8,4.4,-0.4,1630212,2096447,4.31,4.5,4.31,4.5,0.19,0.735,0.788,0.68,0.84,0.599,1.031,1.0,0.44,0.909,1.5,0.0,0.0,0.0,0.644,0.361,1.0,0.761,-0.0,True,1.167,28.6,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
OMN,Oman,Bangladeshi,BGD,6.0,5.93,-0.07,316893,464401,5.81,6.09,5.81,6.09,0.28,0.735,0.788,0.68,0.84,0.568,1.054,1.0,0.48,0.908,1.5,0.0,0.0,0.0,0.565,0.237,1.0,0.761,0.0,True,1.166,46.5,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
SAU,Saudi Arabia,Other foreign,NGA;ETH;GHA;KEN;UGA;TZA;RWA;COD;CIV;CMR;SEN;ZMB;ZWE;MOZ;MWI;AGO;SDN;SOM;ERI;BFA;NER;MLI;GIN;SLE;LBR;BEN;TGO;GMB,16.7,15.58,-1.12,5671779,7432246,15.19,16.06,15.19,16.06,0.88,0.711,0.785,0.574,0.717,0.599,1.165,1.006,0.44,0.945,1.5,0.0,0.0,0.0,0.644,0.361,1.0,0.761,0.02,True,1.146,31.0,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
OMN,Oman,Egyptian,EGY,3.0,3.33,0.33,158446,260842,3.26,3.42,3.26,3.42,0.17,0.7,0.706,0.72,0.66,0.568,0.986,1.0,0.48,0.869,1.5,0.0,0.0,0.0,0.565,0.237,1.0,0.761,0.0,True,1.139,64.6,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
MYS,Malaysia,Other,NGA;ETH;GHA;KEN;UGA;TZA;RWA;COD;CIV;CMR;SEN;ZMB;ZWE;MOZ;MWI;AGO;SDN;SOM;ERI;BFA;NER;MLI;GIN;SLE;LBR;BEN;TGO;GMB,1.2,1.31,0.11,426692,580252,1.26,1.37,1.26,1.37,0.12,0.711,0.785,0.574,0.717,0.603,0.915,1.001,0.56,0.886,1.585,0.0,0.0,0.0,0.446,0.107,1.0,0.761,0.02,True,1.135,36.0,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
