country_id,mae,rmse,mean_error,n_years
PAK,0.0012102493989323948,0.0014013706710414504,-0.0003775652156933207,10
PAN,0.0028830210206285843,0.0034560423744551144,-0.0005062658658894437,10
PER,0.0034819216310124413,0.004667480365305948,0.0007102300574182818,10
PHL,0.0021464525699892434,0.0029536813601475417,-0.0013425716630519613,10
PLW,0.008116857169345858,0.009633747516861885,-0.0023604478234201644,10
PNG,0.0019147578056942893,0.0026722142461209795,-0.0005072263571557989,10
POL,0.0014604429710879275,0.0018245934337536005,0.0003462932470929325,10
PRI,0.004356257009993636,0.005395784258707281,2.856888140781999e-05,10
PRK,0.0022109585721145296,0.002714474393899686,0.00061142690364413,10
PRT,0.001314323210150159,0.0016037436448673053,0.0002775236242835155,10
PRY,0.0028464861135284237,0.003724948471376909,-0.0005543353587740496,10
PSE,0.0011479192741427947,0.001547957128584352,0.0005835903501992367,10
PYF,0.001571919245913278,0.0022421398899374672,-0.00018446037502458656,10
QAT,0.0020029808455257923,0.002367731473984675,0.001110207197781099,10
ROU,0.0014348061973144199,0.0018286047218935325,0.00038157340205062783,10
RUS,0.002284204746948293,0.003229959735045704,0.00019964791428647155,10
RWA,0.0013753407134153516,0.001706619668323552,-0.0004440023983513175,10
SAU,0.0032592458241507915,0.005031696349187016,0.00039441901652715884,10
SDN,0.0012571833039268343,0.0013489968429838458,0.0008239577554789102,10
SEN,0.002580071468624251,0.003320147542214622,0.002147784945713399,10
SGP,0.0007446323001799704,0.0008677624105876833,0.00012123074990907367,10
SLB,0.0009840298740061981,0.0013456570386863125,-0.00019243592279464262,10
SLE,0.002000940489535413,0.0023696604599492744,0.000846575905205521,10
SLV,0.00148644861197188,0.0018838848683161479,-0.0006414302942678973,10
SMR,0.003888828405873834,0.004983490298639592,-0.0011636903278512633,10
SOM,0.0025920597737091045,0.003273375128929901,-0.001660407099193878,10
SRB,0.0012600497835621115,0.001610356934207163,0.0008214950658382847,10
SSD,0.00503087113036792,0.00619604632072086,-0.0004456025937703889,10
STP,0.0023303048911906487,0.0028864250077538216,-0.0005205840734566203,10
SUR,0.0021363681879820184,0.0031272503473513485,-0.00096494576378221,10
SVK,0.0014517788537968146,0.0015826248634254402,0.00047549257411798606,10
SVN,0.0011394990204607214,0.0014100486279821573,0.00028400047850837276,10
SWE,0.0010116701197546486,0.0013807858895458474,-0.0003036108958361483,10
SWZ,0.0023627222464800866,0.0033509169086027506,-0.0011512813766930917,10
SXM,0.004444256459192575,0.006629772413582368,0.0025573038256340385,10
SYC,0.001328510082022727,0.001495352863953725,0.0002961205396040167,10
SYR,0.002778280838131297,0.003067725162334233,-0.0016661881351151652,10
TCA,0.0021637096006069,0.0028658356170688033,-0.000739847714402253,10
TCD,0.0025758739644602346,0.002926051192274197,-0.001222862577678091,10
TGO,0.0015488001695618703,0.00216370163843977,-0.000501336199408009,10
THA,0.002963584937429897,0.004059495625016058,-0.0005646563288506546,10
TJK,0.0026098986971414885,0.0031433323126909924,-0.0004516879951977137,10
TKM,0.001349109120411418,0.0017225788225272206,-0.0005107580467267559,10
TLS,0.0016433767929283749,0.002002312014319183,-0.00035519473133988066,10
TON,0.002693821595739887,0.003704469076142914,-0.0005552020953786596,10
TTO,0.0012681391744402415,0.0019808693337057194,-0.0003734048475820151,10
TUN,0.001749580807173301,0.002052580959573035,-0.0002344340720121907,10
TUR,0.0016042643197266893,0.001979594052209769,-0.00012490336449231255,10
TUV,0.0019893684199244754,0.0023781121088660806,-0.0007389246373641578,10
TZA,0.002515051219745712,0.003269494408082052,-0.0006651301357851969,10
UGA,0.0016552455326244498,0.002098810054373811,-0.00020582920307551377,10
UKR,0.001790693649389119,0.002050892573800369,0.000921379520590071,10
URY,0.001536110441502092,0.00205684380911431,-8.821738575898186e-05,10
USA,0.0016347713053636247,0.0019343828279422756,0.000702618640193764,10
UZB,0.0016181653961199528,0.002036721176620581,-1.9656224785979946e-05,10
VCT,0.004086220078265801,0.0056032965148487095,-0.0013353475018499593,10
VEN,0.0027208570065780256,0.0032320732980896253,-0.0005269421939512409,10
VGB,0.003023599076272032,0.003653962072530201,-0.0006228213093088186,10
VIR,0.0011860235740575932,0.0014920555503381572,-0.00015880573923487962,10
VNM,0.0012425106063161495,0.0014960696161667004,-0.00011298450970036456,10
VUT,0.0016066704941686161,0.00209279884411151,-0.0008644106348314584,10
WSM,0.002885543793326484,0.003997758037245853,0.0005395198526705558,10
XKX,0.0015298535611769858,0.0019839607011372046,-0.0002213697978485918,10
YEM,0.001367810464846142,0.0017072504542009024,-0.0005018908376583475,10
ZAF,0.0019699280698192378,0.0025015372003317593,1.2139333080085636e-06,10
ZMB,0.0020826352766055932,0.0022952761546990584,0.0004192831711794076,10
ZWE,0.0019248783668558644,0.0021871575125160976,0.00011619545278933608,10
